id,time_stamp,reg_number,alt,dir,speed,lat,lng,dep_iata,flight_icao,status
1,12/05/2025 03:10:19,B-223F,8973,81.6,1158,32.965889,130.545814,ANC,CKK227,en-route
2,12/05/2025 03:10:19,N304DU,2577,51.5,538,47.322048,-122.177331,SEA,DAL2108,en-route
3,12/05/2025 03:10:19,N918AK,9933,100.4,981,46.914865,-111.229608,SEA,ASA410,en-route
4,12/05/2025 03:10:19,N37324,6649,237.4,620,39.723553,-76.539755,LGA,UAL1899,en-route
5,12/05/2025 03:10:19,XA-VAA,12364,38.9,958,29.24295,-98.090904,GDL,VIV546,en-route
6,12/05/2025 03:10:19,B-18773,3027,355.1,450,33.778527,134.607316,KIX,CAL5142,en-route
7,12/05/2025 03:10:19,N782CK,5193,114,939,35.69905,141.067179,ANC,CKS551,en-route
8,12/05/2025 03:10:19,N971AK,11297,100,980,46.735928,-113.131867,SEA,ASA570,en-route
9,12/05/2025 03:10:19,N249NN,10672,302.2,718,40.231469,-120.375092,MCI,AAL4121,en-route
10,12/05/2025 03:10:19,N404KZ,10688,130,987,48.249689,-99.529864,ANC,GTI8128,en-route
11,12/05/2025 03:10:19,N964AN,10383,275,588,42.980817,-72.564601,BOS,AAL2500,en-route
12,12/05/2025 03:10:19,N377DA,10992,271.8,646,43.096597,-77.241777,BOS,DAL2676,en-route
13,12/05/2025 03:10:19,N655NK,10992,321,766,31.283548,-76.930813,SJU,NKS1480,en-route
14,12/05/2025 03:10:19,N982VJ,9026,280.6,602,40.860285,-79.317836,PHL,AAL2901,en-route
15,12/05/2025 03:10:19,N731YX,9164,242,666,43.311892,-82.587635,YYZ,UAL3640,en-route
16,12/05/2025 03:10:19,N202JQ,10383,280,675,42.512074,-81.020765,JFK,DAL5679,en-route
17,12/05/2025 03:10:19,N664NK,10116,324,829,27.575098,-81.389143,FLL,NKS1986,en-route
18,12/05/2025 03:10:19,N984NN,11602,350,807,34.880382,-81.715662,MIA,AAL1918,en-route
19,12/05/2025 03:10:19,N123HQ,6725,271,675,42.790957,-84.500472,LGA,AAL4570,en-route
20,12/05/2025 03:10:19,N844NN,3621,324.3,628,41.609084,-86.749416,TPA,AAL3177,en-route
21,12/05/2025 03:10:19,N981NK,3957,324.6,635,41.475285,-86.628304,MCO,NKS897,en-route
22,12/05/2025 03:10:19,N631FR,6809,324,714,41.210877,-86.348728,PUJ,FFT81,en-route
23,12/05/2025 03:10:19,N958AN,7030,316,759,40.581824,-86.129011,RSW,AAL3205,en-route
24,12/05/2025 03:10:19,N57868,6832,100.2,872,42.503022,-89.646604,SFO,UAL626,en-route
25,12/05/2025 03:10:19,N75858,10688,83,948,42.477835,-92.515826,DEN,UAL1411,en-route
26,12/05/2025 03:10:19,N614SK,7030,116.6,907,42.939752,-90.949278,RST,AAL6235,en-route
27,12/05/2025 03:10:19,N995AN,8249,38,913,38.944708,-91.833258,DFW,AAL1120,en-route
28,12/05/2025 03:10:19,XA-MAQ,11907,15,888,35.622776,-91.911744,MEX,AMX682,en-route
29,12/05/2025 03:10:19,N927NN,10688,76,1042,40.156981,-93.4337,LAS,AAL1194,en-route
30,12/05/2025 03:10:19,N930SW,9270,59,907,38.722549,-95.589555,ICT,UAL4757,en-route
31,12/05/2025 03:10:19,N362FR,11396,37.5,1034,37.678326,-93.036426,AUS,FFT2800,en-route
32,12/05/2025 03:10:19,XA-VXK,12356,26,956,30.698521,-94.529556,MEX,VIV186,en-route
33,12/05/2025 03:10:19,N483WN,11297,76,930,38.336854,-100.524066,LAS,SWA1772,en-route
34,12/05/2025 03:10:19,N312FR,10078,70.6,845,36.494508,-113.791371,LAX,FFT2446,en-route
35,12/05/2025 03:10:19,N524GJ,558,231.5,280,40.840696,-77.86347,SCE,GJS4555,en-route
36,12/05/2025 03:10:19,N14228,7723,279.6,766,42.542582,-81.442941,LGA,UAL1234,en-route
37,12/05/2025 03:10:19,N766SK,6397,304.4,625,40.187302,-83.579334,CMH,SKW6251,en-route
38,12/05/2025 03:10:19,N293NN,7144,272.1,672,41.284276,-82.598645,CLE,ENY4207,en-route
39,12/05/2025 03:10:19,N900WN,3103,298.9,591,41.882062,-86.928357,MCO,SWA3274,en-route
40,12/05/2025 03:10:19,N714FR,8462,345.3,827,39.845436,-85.436412,ATL,FFT3397,en-route
41,12/05/2025 03:10:19,N428YX,170,270.5,220,42.002872,-87.903514,SYR,RPA4754,en-route
42,12/05/2025 03:10:19,N443SW,1854,72.9,541,42.022252,-87.834524,IRK,VTE3071,en-route
43,12/05/2025 03:10:19,N716EV,581,269,290,42.00293,-87.808095,OKC,SKW6234,en-route
44,12/05/2025 03:10:19,N37700,1107,269,312,42.002548,-87.690878,LGA,DAL2801,en-route
45,12/05/2025 03:10:19,N746SK,2212,70.9,547,41.830683,-88.021041,STL,SKW4924,en-route
46,12/05/2025 03:10:19,N779RN,985,270,351,41.977695,-87.930841,GRB,AAL3580,en-route
47,12/05/2025 03:10:19,N755US,185,271,216,41.965805,-87.891491,IAH,AAL1168,en-route
48,12/05/2025 03:10:19,N156SY,665,268.2,275,41.965848,-87.789243,DCA,SKW4798,en-route
49,12/05/2025 03:10:19,N841NN,1991,269.5,453,41.965212,-87.36009,MCO,AAL3253,en-route
50,12/05/2025 03:10:19,N496MC,10406,128.5,1018,43.524036,-92.257639,ANC,GTI8496,en-route
51,12/05/2025 03:10:19,N354PT,8676,67.3,932,40.98728,-90.113663,SAN,AAL1861,en-route
52,12/05/2025 03:10:19,N901SC,12006,83.2,854,41.061096,-110.108904,STS,COL901,en-route
53,12/05/2025 03:10:19,N182UW,11625,47,1016,30.191679,-103.495592,SJD,AAL2668,en-route
54,12/05/2025 03:10:19,N953AK,10870,71.3,859,33.666253,-110.768305,SAN,ASA1493,en-route
55,12/05/2025 03:10:19,N857GT,10992,353,926,11.876281,-80.132796,ANC,GTI38,en-route
56,12/05/2025 03:10:19,HL7782,9468,92,1163,36.245929,137.69789,ICN,KAL37,en-route
57,12/05/2025 03:10:19,B-2425,undefined,28.1,0,61.174358,-149.987166,ANC,CSS199,en-route
58,12/05/2025 03:10:19,N17328,undefined,25.3,11,40.775941,-73.869492,LGA,UAL2319,en-route
59,12/05/2025 03:10:19,TC-LJO,undefined,199.7,20,40.640188,-73.772992,JFK,THY6013,en-route
60,12/05/2025 03:10:19,N769KW,undefined,210.9,12,40.187508,-76.746722,MDT,ENY3584,en-route
61,12/05/2025 03:10:19,N3743H,292,91,322,33.646794,-84.412263,ATL,DAL1139,en-route
62,12/05/2025 03:10:19,N754SK,undefined,180,32,41.99392,-87.931393,DSM,SKW6292,en-route
63,12/05/2025 03:10:19,N732SK,undefined,267,0,41.976013,-87.930872,MKE,SKW4957,en-route
64,12/05/2025 03:10:19,N234JW,undefined,180,27,41.984581,-87.930138,MSP,ENY3574,en-route
65,12/05/2025 03:10:19,N302DU,undefined,90,37,41.981914,-87.927141,SLC,DAL2413,en-route
66,12/05/2025 03:10:19,N741EV,undefined,357.2,0,41.971044,-87.920869,SGF,SKW6325,en-route
67,12/05/2025 03:10:19,N916AN,185,82.6,18,41.967393,-87.91427,PSP,AAL2880,en-route
68,12/05/2025 03:10:19,N13716,undefined,78.8,0,41.974838,-87.903703,CLT,UAL2155,en-route
69,12/05/2025 03:10:19,N921US,undefined,245,0,41.972958,-87.899801,PHX,AAL1164,en-route
70,12/05/2025 03:10:19,N823UA,undefined,90,45,41.967436,-87.898621,DFW,UAL1517,en-route
71,12/05/2025 03:10:19,N765SK,undefined,78.8,0,41.981506,-87.894921,CLE,SKW4943,en-route
72,12/05/2025 03:10:19,N766JM,undefined,70.3,0,41.981186,-87.894464,BWI,ENY3878,en-route
73,12/05/2025 03:10:19,N970AN,undefined,135,7,41.981579,-87.894017,DFW,AAL2364,en-route
74,12/05/2025 03:10:19,N206NN,undefined,73.1,9,41.97992,-87.891484,GSO,ENY4144,en-route
75,12/05/2025 03:10:19,N434YX,undefined,270,0,41.98281,-87.891391,ATL,RPA4703,en-route
76,12/05/2025 03:10:19,N9006,undefined,95,0,41.970932,-87.890001,SAT,AAL857,en-route
77,12/05/2025 03:10:19,N919AT,undefined,300.9,27,44.885802,-93.234019,MSP,DAL1563,en-route
78,12/05/2025 03:10:19,N308TB,undefined,180,34,32.896152,-97.033173,DFW,AAL1573,en-route
79,12/05/2025 03:10:19,N315SD,undefined,90,21,33.439043,-111.9981,PHX,AAL2199,en-route
80,12/05/2025 03:10:19,undefined,10992,342,825,26.081821,-87.821422,PTY,CMP235,en-route
81,12/05/2025 03:10:19,N543UW,11297,47,1014,30.065009,-103.646385,SJD,AAL2668,en-route
82,12/05/2025 03:10:19,N69885,10078,69,1000,38.274524,-99.745786,LAX,UAL212,en-route
83,12/05/2025 03:10:19,XA-VLC,11907,38,959,37.628236,-92.215183,GDL,VOI1702,en-route
84,12/05/2025 03:10:19,N677NK,3271,40,670,41.543827,-88.406783,IAH,NKS1212,en-route
85,12/05/2025 03:10:19,N523GJ,1290,269,340,41.96605,-87.654662,AVP,GJS4447,en-route
86,12/05/2025 03:10:19,undefined,2052,39,540,41.955838,-87.947775,IAH,UAL2197,en-route
87,12/05/2025 03:10:19,undefined,9194,5,888,39.383594,-85.769678,BNA,ENY3908,en-route
88,12/05/2025 03:10:19,undefined,6329,280,575,41.123321,-74.575988,LGA,NKS921,en-route
